City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-08-03 15:42:59,42.097,-79.2353,74.17,64,40,8.05
1,Ushuaia,AR,2021-08-03 15:42:59,-54.8,-68.3,40.66,60,40,2.3
2,Carnarvon,AU,2021-08-03 15:43:00,-24.8667,113.6333,53.67,41,0,11.5
3,Katsuura,JP,2021-08-03 15:43:00,35.1333,140.3,82.51,89,13,8.68
4,Punta Arenas,CL,2021-08-03 15:43:00,-53.15,-70.9167,42.82,75,0,23.02
5,Mataura,NZ,2021-08-03 15:43:01,-46.1927,168.8643,34.48,98,12,2.35
6,Port Alfred,ZA,2021-08-03 15:40:33,-33.5906,26.891,67.15,57,0,7.65
7,Busselton,AU,2021-08-03 15:40:16,-33.65,115.3333,48.09,76,88,3.85
8,Bluff,NZ,2021-08-03 15:43:01,-46.6,168.3333,34.81,83,15,4.83
9,Imeni Poliny Osipenko,RU,2021-08-03 15:43:02,52.4201,136.4853,52.9,99,100,8.16
10,Albany,US,2021-08-03 15:40:00,42.6001,-73.9662,75.61,58,76,1.01
11,Severo-Kurilsk,RU,2021-08-03 15:43:02,50.6789,156.125,51.37,88,100,16.04
12,Rikitea,PF,2021-08-03 15:43:03,-23.1203,-134.9692,69.57,58,100,16.78
13,Torbay,CA,2021-08-03 15:43:03,47.6666,-52.7314,69.58,65,20,31.07
14,Saskylakh,RU,2021-08-03 15:43:03,71.9167,114.0833,55.26,74,83,7.02
15,Castro,BR,2021-08-03 15:43:04,-24.7911,-50.0119,57.69,60,56,6.53
16,Cayenne,GF,2021-08-03 15:43:04,4.9333,-52.3333,87.84,76,75,5.01
17,Hermanus,ZA,2021-08-03 15:43:04,-34.4187,19.2345,59.9,93,0,3.47
18,San Pedro De Macoris,DO,2021-08-03 15:39:08,18.4616,-69.2972,88.41,68,84,10.27
19,Laguna,US,2021-08-03 15:41:15,38.421,-121.4238,91.24,66,1,5.75
20,Saint-Augustin,CA,2021-08-03 15:41:13,51.226,-58.6502,73.58,40,23,14.36
21,Benguela,AO,2021-08-03 15:43:05,-12.5763,13.4055,74.35,72,7,7.49
22,Callaguip,PH,2021-08-03 15:43:05,18.0714,120.4867,80.62,94,90,13.8
23,Fershampenuaz,RU,2021-08-03 15:43:06,53.5202,59.8117,75.06,42,56,2.71
24,Priiskovyy,RU,2021-08-03 15:43:06,51.9333,116.6333,61.74,91,85,2.55
25,Saint-Philippe,RE,2021-08-03 15:43:06,-21.3585,55.7679,67.59,64,2,11.05
26,Tumen,CN,2021-08-03 15:43:07,42.9661,129.8425,67.96,98,89,2.35
27,Souillac,MU,2021-08-03 15:43:07,-20.5167,57.5167,68.38,68,20,9.22
28,Hobart,AU,2021-08-03 15:43:07,-42.8794,147.3294,47.26,89,40,10.36
29,Kununurra,AU,2021-08-03 15:41:18,-15.7667,128.7333,76.98,50,71,6.91
30,Chokurdakh,RU,2021-08-03 15:43:09,70.6333,147.9167,34.72,77,70,7.52
31,Amapa,BR,2021-08-03 15:43:09,1.0,-52.0,89.78,45,34,4.14
32,New Norfolk,AU,2021-08-03 15:40:09,-42.7826,147.0587,46.92,77,100,3.0
33,Kapaa,US,2021-08-03 15:43:10,22.0752,-159.319,79.12,78,75,5.01
